Packages,StartUp,Plus,Professional,Business
Disk Space,1000,2000,3000,Unlimited
Monthly Transfer (Bandwidth),20000,40000,60000,100000
Email Accounts,10,20,30,60
Sub-Domains,0,1,3,5
Sites,1,3,5,7
